transaction_id,day,month,year,week_name,brand,laptop_model,units_sold,price_per_unit,customer_name,gender,customer_age,City,payment_method,customer_rating
TXN00206,10,April,2025,Thursday,HP,Pavilion x360,4,58946,Prisha Bath,F,64,Bengaluru,Cash,2
TXN00207,23,February,2025,Sunday,Lenovo,Legion Y540,3,67311,Kanav Contractor,M,31,Visakhapatnam,Cash,5
TXN00208,29,May,2024,Wednesday,Asus,TUF Gaming,5,63374,Bhamini Mann,F,46,Srinagar,UPI,3
TXN00209,2,November,2024,Saturday,HP,Envy 13,5,72266,Saksham Kant,M,31,Vadodara,UPI,4
TXN00210,8,January,2025,Wednesday,HP,Omen 15,5,45992,Mannat Raman,F,45,Ghaziabad,Debit Card,1
TXN00211,19,March,2025,Wednesday,Apple,MacBook Air,1,55606,Badal Chokshi,M,30,Chennai,UPI,3
TXN00212,1,April,2025,Tuesday,Lenovo,ThinkPad X1,5,66739,Kavya Shere,F,42,Srinagar,Cash,2
TXN00213,25,June,2024,Tuesday,HP,Pavilion x360,1,54335,Tiya Rama,F,31,Agra,UPI,1
TXN00214,12,January,2025,Sunday,Asus,ROG Zephyrus,5,60335,Aniruddh Jani,M,19,Agra,Cash,5
TXN00215,23,June,2024,Sunday,HP,Envy 13,1,30269,Ritvik Manne,M,57,Nashik,Cash,1
TXN00216,12,December,2024,Thursday,Acer,Predator Helios,3,49461,Saksham Toor,M,36,Ahmedabad,Debit Card,4
TXN00217,4,March,2025,Tuesday,HP,Omen 15,3,73440,Keya Date,F,52,Agra,Credit Card,2
TXN00218,5,January,2025,Sunday,MSI,Modern 14,4,48065,Sumer Sani,M,18,Varanasi,Credit Card,3
TXN00219,22,February,2025,Saturday,Asus,TUF Gaming,4,36583,Ishita Srinivas,F,21,Chennai,Credit Card,1
TXN00220,18,October,2024,Friday,Dell,XPS 13,4,99384,Nakul Tara,M,34,Surat,Cash,2
TXN00221,18,April,2025,Friday,MSI,Modern 14,5,53255,Vihaan Singh,M,21,Bhopal,UPI,2
TXN00222,6,June,2024,Thursday,Asus,ROG Zephyrus,2,63463,Anay Devan,M,22,Srinagar,Debit Card,1
TXN00223,16,March,2025,Sunday,Asus,TUF Gaming,3,65742,Taran Kalla,M,30,Nashik,Credit Card,2
TXN00224,17,May,2024,Friday,Acer,Swift 3,3,60970,Taran Balakrishnan,M,54,Thane,Credit Card,2
TXN00225,24,June,2024,Monday,MSI,Modern 14,4,94612,Himmat Rattan,M,41,Nagpur,Credit Card,1
TXN00226,20,November,2024,Wednesday,Dell,Inspiron 15,2,88565,Kavya De,F,34,Kolkata,Cash,2
TXN00227,5,August,2024,Monday,HP,Omen 15,5,26404,Inaaya  Raval,F,34,Rajkot,Cash,4
TXN00228,9,June,2024,Sunday,HP,Omen 15,3,34909,Aarna Balasubramanian,F,22,Delhi,Debit Card,2
TXN00229,11,July,2024,Thursday,Acer,Predator Helios,4,46669,Madhav Buch,M,40,Bhopal,Cash,3
